Country,Year,Expenditure_Total,Revenue_Total,Expenditure_Interest,Total_Debt,SFA,IR,Surplus,Primary_Surplus
Netherlands,1978,78.5570569590153,75.19639470371949,4.58689702889703,78.3496876490557,4.9548201489528765,6.549509647269318,-3.360662255295807,1.226234773601223
Netherlands,1979,85.203112340398,81.5652350047288,5.13642246642247,87.7769511945602,5.789386209835314,6.555766360460247,-3.637877335669188,1.498545130753282
Netherlands,1980,94.1540279015461,87.8180569380068,6.18318640618641,98.9290768398732,4.81615468177371,7.04420274575406,-6.335970963539296,-0.1527845573528861
Netherlands,1981,101.612446527655,93.5625076861821,7.69438135938136,113.224386205526,6.245370524179904,7.777674274506271,-8.049938841472894,-0.3555574820915339
Netherlands,1982,109.685843175299,99.1952598179018,9.24966137566138,130.904222728563,7.189253165639812,8.169319071309697,-10.490583357397199,-1.2409219817358181
Netherlands,1983,113.78513708162399,104.52394479192701,10.4840431420431,149.274919137729,9.109504119469008,8.00894189928642,-9.261192289696979,1.222850852346122
Netherlands,1984,117.4298566504,108.11488705108,11.7379043549044,166.21013680998598,7.620248072936988,7.863279660580076,-9.314969599319994,2.4229347555844054
Netherlands,1985,119.89621854689,114.116415684259,12.739557997558,182.58832010385598,10.59838043123898,7.6647298667000445,-5.779802862631001,6.959755134926999
Netherlands,1986,122.873851622919,114.413886244585,13.129146927147,184.371516399348,-6.676769082841986,7.19057326321813,-8.459965378334005,4.669181548812995
Netherlands,1987,127.08943148273599,116.731715647073,13.0655824175824,185.34947203285998,-9.379760202151004,7.086551476466896,-10.357715835662987,2.707866581919413
Netherlands,1988,127.83183374440601,119.33698360787399,13.460297517297501,197.224484181541,3.380162012148972,7.262118078713044,-8.494850136532023,4.965447380765479
Netherlands,1989,130.800262714321,119.888348569774,13.544366707366699,210.673375805909,2.5369774798209903,6.867487453991459,-10.911914144547012,2.6324525628196866
Netherlands,1990,139.48914898612398,127.052526452152,14.4763044363044,221.884736996181,-1.2252613436999695,6.871444662111104,-12.436622533971985,2.039681902332415
Netherlands,1991,147.83623512995598,141.47557568651598,15.854218966219,236.721932466607,8.476536026985997,7.145249908060092,-6.3606594434399994,9.493559522779
Netherlands,1992,156.384456592949,145.48731289301,17.1244839234839,256.482586627807,8.863510461261,7.234008165212809,-10.897143699938994,6.227340223544907
Netherlands,1993,161.370536406373,153.702666720487,17.205477411477403,276.97019226250296,12.819735948809978,6.708243876394236,-7.667869685885989,9.537607725591414
Netherlands,1994,163.048205858241,152.8310820357,16.4785864875865,260.792790578691,-26.394525506352977,5.949588420680539,-10.217123822540998,6.261462665045503
Netherlands,1995,180.812,152.021,17.633,283.915,-5.668790578690988,6.7613065379886175,-28.791000000000025,-11.158000000000026
Netherlands,1996,166.162,159.58,17.248,292.655,2.1579999999999586,6.075057675712801,-6.581999999999994,10.666000000000007
Netherlands,1997,171.721,165.801,17.185,293.873,-4.701999999999998,5.872101963062309,-5.920000000000016,11.264999999999983
Netherlands,1998,179.165,173.893,17.207,305.239,6.093999999999994,5.855250397280458,-5.271999999999991,11.93500000000001
Netherlands,1999,186.022,187.21,16.97,288.667,-15.383999999999986,5.559577904527272,1.1880000000000166,18.158000000000015
Netherlands,2000,195.393,200.529,15.549,283.043,-0.4879999999999711,5.386483387432579,5.135999999999996,20.684999999999995
Netherlands,2001,212.858,210.599,14.539,282.68,-2.622000000000014,5.136675346148818,-2.2590000000000146,12.279999999999985
Netherlands,2002,225.205,213.99,13.546000000000099,296.585,2.6899999999999693,4.79199094382344,-11.215000000000003,2.3310000000000954
Netherlands,2003,235.578,219.143,12.748,308.754,-4.265999999999963,4.298261881079623,-16.435000000000002,-3.687000000000003
Netherlands,2004,237.47,227.769,12.808,320.146,1.6910000000000025,4.148286337990763,-9.700999999999993,3.1070000000000064
Netherlands,2005,240.167,237.32,12.46,328.807,5.813999999999993,3.8919742867316787,-2.8470000000000084,9.612999999999992
Netherlands,2006,258.252,258.423,12.253,311.664,-16.972000000000037,3.726502173007266,0.17099999999999227,12.423999999999992
Netherlands,2007,269.466,267.848,12.875,313.716,0.4340000000000259,4.131051388674983,-1.617999999999995,11.257000000000005
Netherlands,2008,288.26,288.237,13.931,407.016,93.27700000000004,4.440640579377526,-0.022999999999967713,13.908000000000031
Netherlands,2009,305.176,273.028,13.249,409.588,-29.575999999999965,3.2551545885174047,-32.14799999999997,-18.898999999999965
Netherlands,2010,314.223,280.291,12.086,445.169,1.648999999999944,2.9507700420910767,-33.932000000000016,-21.846000000000018
