Country,Year,Revenue_Taxes_Indirect,Revenue_Capital_Transfers,Revenue_Social_Contribution,Revenue_Total,Revenue_Taxes_Direct,Revenue_Others
Italy,1984,36.1026080133287,1.9134829588487798,52.7189859009375,147.97999472897,46.0096787442257,11.23523911162886
Italy,1985,39.216635476849504,1.22430901287554,59.4315215176792,165.246763201346,52.2529065393962,13.12139065454558
Italy,1986,43.7259628624405,1.40835546579147,66.4428468295564,187.67555800897298,58.6311392604593,17.467253590725427
Italy,1987,49.770534813103,1.2163069931835402,72.26003661327229,204.143014367006,64.8463660339631,16.04976991348447
Italy,1988,59.3417117673931,1.52738550870992,80.69368273418469,233.136654882299,74.3437125613912,17.230162310620052
Italy,1989,65.7636159406659,2.18455137591517,87.80937978888319,261.394839996978,85.7471286351263,19.89016425638719
Italy,1990,75.468517776046,1.5964029285534,100.72180157968499,298.008758044992,97.0665416438615,23.15549411684531
Italy,1991,85.848263778787,2.54464226205504,112.805388942201,334.275485869342,106.956902511111,26.120288375187684
Italy,1992,91.713499261011,17.051303711184,120.87680372038099,371.516257232942,115.171202224314,26.70344831605212
Italy,1993,100.591172762207,7.221822772027259,126.15269299475901,393.61078699084004,130.04174480227098,29.603353659575667
Italy,1994,104.561454115497,3.50288412017167,131.051002140696,400.460581856872,128.030671424714,33.314570055793624
Italy,1995,115.728,7.924,138.62,438.289,137.036,38.981
Italy,1996,120.769,4.286,150.052,468.772,151.324,42.341
Italy,1997,131.211,10.109,157.428,507.513,165.771,42.994
Italy,1998,168.553,7.5,138.42,513.774,155.751,43.550000000000004
Italy,1999,170.78,5.625,142.783,533.453,168.082,46.183
Italy,2000,178.425,4.648,145.872,547.045,171.067,47.033
Italy,2001,182.701,3.317,154.011,575.153,183.261,51.863
Italy,2002,190.078,5.35100000000001,161.691,591.19,180.544,53.525999999999996
Italy,2003,190.737,22.258,168.733,612.124,178.472,51.924
Italy,2004,199.155,12.164,176.713,629.663,185.289,56.342
Italy,2005,208.059,6.38,182.056,643.925,191.001,56.429
Italy,2006,224.967,4.384,184.419,685.63,213.472,58.388000000000005
Italy,2007,232.258,4.538,203.167,734.222,233.507,60.752
Italy,2008,222.498,4.001,213.021,742.417,239.88,63.016999999999996
Italy,2009,214.317,16.181,212.155,728.627,222.527,63.447
Italy,2010,225.694,6.197,213.718,738.388,226.675,66.104
Italy,2011,233.151,10.68,216.407,754.137,226.997,66.902
Italy,2012,247.794,4.861,215.906,775.551000000001,239.767,67.223
Italy,2013,242.256,9.202,215.394,778.629,241.037,70.74
Italy,2014,252.293,7.007,214.429,783.525,237.168,72.628
Italy,2015,250.287,9.544000000000018,219.171,794.792,242.566,73.224
Italy,2016,245.147,7.321,220.752,794.041,247.425,73.396
Italy,2017,250.821,7.245,225.992,807.248,250.161,73.029
Italy,2018,256.209,4.637,234.142,820.050000000001,248.561,76.501
Italy,2019,261.488,4.742,242.02,847.437,258.205,80.982
Italy,2020,231.18,5.706,230.337,791.669,251.102,73.34400000000001
Italy,2021,262.1,11.149,247.577,869.213,268.362,80.025
Italy,2022,279.901,17.838,260.268,934.972,290.412,86.553
Italy,2023,290.724,23.07,269.464,992.119,320.796,88.065
Italy,2024,295.479162045986,26.012595616554698,272.674169885087,1026.61647740581,341.27021580540696,91.1803340527762
