Country,Year,CBR,CDR,NetMigrations,CNMR,TPopulation1July,TFR,NetMigrations_smooth,D_UN,D_Y_UN,D_R_UN,D_UN_alt,D_Y_UN_alt,D_R_UN_alt,N_Y,N_M1,N_M2,N_R,FAT_Y,FAT_M1,FAT_M2,FAT_R,mu_Y,mu_M1,mu_M2,mu_R,MY,nu_t,N,p_y,p_m1,p_m2
Italy,1973,16.005,10.065,41.631,0.765,54450.567,2.3151,41.631,76.789,56.057,20.732,64.008,52.004,12.004,17265.369000000002,18534.815500000004,12264.9845,6385.397999999999,31.775,27.853500000000054,105.37549999999999,383.025,0.0018547482035574333,0.001503516815626581,0.008653961247273193,0.06144396567800472,0.6617268189154619,0.016005,54450.567,0.040854825447034164,0.03802533416860192,0.0419365759271132
Italy,1974,15.787,9.702,42.487,0.775,54821.114,2.2922,42.487,77.424,56.239,21.185,64.3,52.079,12.221,17376.9115,18559.820499999998,12338.486000000003,6545.8955000000005,27.869,26.351499999999987,103.1515,374.527,0.0016141560600297622,0.0014217298251498636,0.008410242997045776,0.058653665754272485,0.6647955458405432,0.015787000000000002,54821.1135,0.041713536573067374,0.03837805136118081,0.043593785318604215
Italy,1975,14.95,10.041,43.051,0.78,55166.045,2.1774,43.051,77.898,56.269,21.63,64.479,52.024,12.455,17448.8465,18586.617499999997,12423.288999999997,6707.291999999999,25.1,26.356499999999983,104.98350000000005,397.491,0.001444445406768631,0.0014200837772110988,0.00850862091183635,0.060723700829015674,0.6683996698161997,0.01495,55166.04499999999,0.041580498745418616,0.03838604725864668,0.042359463456456865
Italy,1976,14.093,9.909,40.885,0.737,55459.416,2.0563,40.885,78.121,56.095,22.025,64.471,51.796,12.674,17465.7515,18625.3695,12510.515499999998,6857.779000000001,22.637,25.97950000000003,103.27550000000002,397.667,0.0012973350416028934,0.0013977529800675156,0.008313056228507608,0.05928875617760492,0.6716922045492841,0.014093,55459.415499999996,0.042290077581059675,0.0384183174902585,0.04214379720096621
Italy,1977,13.279,9.776,42.246,0.758,55714.555,1.9389,42.246,78.211,55.783,22.428,64.354,51.445,12.908,17439.521999999997,18692.538999999997,12570.651000000002,7011.843000000001,20.597,25.15500000000003,100.48899999999998,398.427,0.001179279345638234,0.0013505772328436239,0.0080323628550718,0.058098547649319106,0.6724956411753376,0.013279,55714.555,0.042487612309410214,0.037153602693600456,0.042474275214678434
Italy,1978,12.625,9.631,43.932,0.785,55938.966,1.8415,43.932,78.229,55.36,22.869,64.181,50.997,13.184,17375.3805,18773.654,12612.276000000002,7177.655,18.986,24.37250000000006,98.89549999999997,396.481,0.0010886766277194986,0.0013038624661957407,0.007867174102598183,0.05654447767869303,0.6718072038613262,0.012625,55938.96549999999,0.042922722129367805,0.03675243137783446,0.043472351342424005
Italy,1979,11.915,9.55,42.637,0.76,56132.38,1.7333,42.637,78.003,54.724,23.279,63.89,50.385,13.505,17256.823,18868.033499999998,12666.539500000003,7340.983999999997,17.211,24.31049999999999,96.57350000000002,397.957,9.905394589776035e-4,0.0012949263899292057,0.007657103285719407,0.055443874078651034,0.6713227162756523,0.011914999999999999,56132.37999999999,0.044192371725758725,0.03684984680832509,0.04289228002404151
Italy,1980,11.339,9.772,295.642,5.241,56412.084,1.6466,42.246,77.164,53.755,23.409,63.287,49.545,13.743,17116.569,19080.469,12761.183500000001,7453.863000000001,16.81,24.57350000000008,96.50149999999996,413.4,9.741074588294728e-4,0.0013023879780582372,0.007618615960578653,0.05631397643694635,0.6688086912329042,0.011339,56412.0845,0.04403644035869161,0.043383538449833454,0.04953338335383526
Italy,1981,11.012,9.633,7.182,0.127,56646.75,1.5822,7.182,75.779,52.494,23.285,62.573,48.55,14.023,16916.708000000002,19314.703,12911.391499999998,7503.9475,15.31,23.345500000000015,95.87649999999996,411.126,8.94454957649515e-4,0.001223528625003925,0.007513135439201227,0.05515609825401942,0.6684747624646362,0.011012000000000001,56646.75000000001,0.047074905871263985,0.029106379644755896,0.024235908410375786
Italy,1982,10.932,9.455,-24.223,-0.427,56719.175,1.5606,-24.223,74.035,51.043,22.992,61.881,47.479,14.403,16635.278,19463.0035,13127.650500000003,7493.243499999998,14.244,22.821500000000015,95.94349999999997,403.288,8.420077948972103e-4,0.0011815610108009433,0.007430918658147729,0.05374344636606266,0.6744925314327773,0.010932,56719.1755,0.052400754981406825,0.035781201036330056,0.029346238242408063
Italy,1983,10.633,9.963,-3.733,-0.066,56766.112,1.5062,-3.733,71.89,49.421,22.469,61.048,46.304,14.744,16321.0555,19603.7195,13421.006500000003,7420.330000000002,13.243,22.959500000000048,101.58949999999999,427.743,7.960792720145706e-4,0.0011796483518075743,0.007738589628052633,0.05708382491507184,0.684615309865049,0.010632999999999998,56766.111500000006,0.0543468220423789,0.03784955354354744,0.02603059040088714
Italy,1984,10.38,9.431,0.203,0.004,56810.352,1.4578,0.203,69.724,47.705,22.019,60.049,44.986,15.063,15968.0285,19742.406500000005,13729.746500000003,7370.171,11.925,22.149,100.507,401.184,7.306512743615142e-4,0.001129836610853364,0.007488782603599811,0.05406551999708907,0.6954444231507441,0.01038,56810.35250000001,0.05700208772465725,0.03926302033499278,0.02685746686509652
Italy,1985,10.166,9.652,6.911,0.122,56855.501,1.4155,6.911,68.256,46.121,22.136,58.816,43.533,15.283,15584.620499999999,19910.1225,13880.894500000004,7479.862999999998,11.25,21.88149999999996,100.57749999999999,415.076,7.045328106722755e-4,0.0011083501902364311,0.007325517627000612,0.05631836764710073,0.6971777546823231,0.010166,56855.5005,0.05947459597250847,0.038850661063787026,0.037530193548366356
Italy,1986,9.795,9.601,-6.206,-0.109,56875.988,1.3511,-6.206,67.241,44.666,22.575,57.325,42.018,15.307,15190.175000000005,20087.4895,13920.9945,7677.328499999997,10.233,21.927499999999895,98.16850000000005,415.733,6.566088664141678e-4,0.0011013242133492596,0.007072202731603501,0.055580296056224575,0.6930181344961002,0.009795,56875.9875,0.060387234158027464,0.03694661483863289,0.043033475068735796
Italy,1987,9.726,9.388,7.825,0.138,56891.926,1.3297,7.825,66.349,43.29,23.059,55.617,40.498,15.12,14805.453999999998,20284.010999999995,13916.286999999998,7886.1740000000045,9.955,21.85499999999996,95.488,406.793,6.553578217499138e-4,0.001087990612266404,0.006859280060774393,0.05298626989844191,0.6860717537571835,0.009726,56891.926,0.06108829255917112,0.03571329082337608,0.04501185992315536
Italy,1988,9.989,9.496,18.553,0.326,56928.751,1.3552,18.553,65.597,42.007,23.59,53.811,39.017,14.794,14441.1395,20506.033,13871.925500000001,8109.653000000001,9.644,22.249000000000024,92.62700000000001,416.075,6.513815787074143e-4,0.001096873788916799,0.006656013920954635,0.052760058299499826,0.6764802095071242,0.009989000000000001,56928.751,0.06233945604194228,0.03437416538642155,0.04663459792213187
Italy,1989,9.881,9.357,19.54,0.343,56976.755,1.3282,19.54,64.848,40.771,24.077,52.163,37.634,14.53,14091.7975,20714.8305,13848.338499999998,8321.7885,9.12,22.687000000000012,89.356,411.991,0.00063152911167432455,0.0011063573339611817,0.006441499415492102,0.05080254358602026,0.6685228971581495,0.009881000000000001,56976.755,0.06251134050959058,0.033687183114891064,0.04505657766335339
Italy,1990,9.988,9.555,35.317,0.619,57031.454,1.3314,35.317,64.108,39.552,24.556,51.113,36.42,14.693,13745.292500000001,20911.7195,13840.604000000001,8533.837500000001,8.945,23.682000000000016,87.12,425.196,6.347664306132699e-4,0.001143238898334216,0.006291007401357211,0.051094305028300105,0.661858724721322,0.009988,57031.4535,0.0643384088467067,0.03482479998762233,0.04635966465868773
Italy,1991,9.861,9.718,19.721,0.346,57075.394,1.3032,19.721,62.779,37.826,24.954,49.895,34.832,15.063,13262.796499999997,21155.228999999996,13907.837499999998,8749.5305,9.113,24.877500000000055,86.62449999999995,434.018,6.629906202432577e-4,0.0011896439219166103,0.006258722523959211,0.05085847955272173,0.6574184330502875,0.009861,57075.393499999984,0.07535453777818876,0.03763938029885639,0.04575278383541025
Italy,1992,9.945,9.603,51.747,0.906,57124.99,1.2955,51.747,61.681,36.31,25.37,48.901,33.44,15.46,12829.196500000002,21311.239999999998,14020.7325,8963.820500000002,8.82,24.818499999999972,83.51050000000004,431.417,6.650181204243014e-4,0.0011731614911849916,0.006004563973371133,0.04930744569665766,0.6579031769150928,0.009945,57124.989499999996,0.07482545542770674,0.04080845867267571,0.04795186802818829
Italy,1993,9.616,9.687,24.321,0.425,57170.764,1.2489,24.321,61.247,35.414,25.833,48.562,32.628,15.934,12556.15,21336.847,14118.617500000002,9159.148999999998,7.923,23.904499999999985,81.33249999999998,440.678,6.175756993043172e-4,0.0011216850826136812,0.005800873813119249,0.04916185012852499,0.661701211055223,0.009616,57170.7635,0.06348311829443112,0.03703430204117628,0.043509096192513134
Italy,1994,9.288,9.71,502.75,8.756,57420.138,1.2082,50.539,61.451,34.468,26.984,48.732,31.752,16.979,12258.4255,21364.323000000004,14200.6335,9596.756,7.156,24.28200000000004,79.82099999999991,446.308,5.69919919720615e-4,0.0011380313126864545,0.005653598873969062,0.04872810781875042,0.6646891408634852,0.009288000000000001,57420.138,0.06543172480322394,0.059641546447232824,0.07867098541255917
Italy,1995,9.15,10.052,-460.287,-8.018,57403.344,1.1885,51.747,61.047,33.598,27.449,48.303,30.94,17.363,11975.723499999998,21390.197999999997,14253.609,9783.813000000002,6.811,24.827999999999975,77.21299999999997,468.182,5.556178483117592e-4,0.0011621243509564974,0.0054372926390924715,0.04878544374786647,0.6663617139027886,0.00915,57403.343499999995,0.06536608332774883,0.013587852172989922,0.011274621142782708
