Country,Year,Revenue_Social_Contribution,Revenue_Taxes_Indirect,Revenue_Total,Revenue_Taxes_Direct,Revenue_Capital_Transfers,Revenue_Others
Spain,1969,1.09232302369717,1.2248335335524398,3.62730105215523,0.417476938676703,0.291083885127155,0.601583671101771
Spain,1970,1.21921205439514,1.3731558409031701,4.13168588069167,0.491405146567369,0.32148261267252,0.7264302261534761
Spain,1971,1.5106977051022699,1.48993449012954,4.68536724815292,0.5946872017087409,0.362682658485815,0.7273651927265621
Spain,1972,1.85126307523032,1.7785254048843602,5.576748970066141,0.695794897794505,0.425644152829572,0.825521439327386
Spain,1973,2.26185682550772,2.2234923269365603,6.928906853593681,0.881159007285072,0.513423478924366,1.048975214939972
Spain,1974,2.80053667281043,2.37449920093617,8.22323042193613,1.0969641435541502,0.628759156135826,1.322471248499555
Spain,1975,3.7150953468976997,2.71074117370865,10.198148397271401,1.43616415622897,0.7381899009651429,1.5979578194709347
Spain,1976,4.76552104913799,3.22416454530734,12.616730643796801,1.84276929962763,0.888319444759581,1.8959563049641992
Spain,1977,6.49288775948868,4.11544067273618,16.6546597011024,2.4369129115724704,1.12701074875328,2.482407608551805
Spain,1978,8.4369234750878,4.6536962858370305,20.7496750257153,3.36808217713653,1.37963916023278,2.911333927421114
Spain,1979,10.276814420208401,5.53020729669702,25.1537384730635,4.3161027253815405,1.61390482132309,3.4167092094533995
Spain,1980,11.919189421318,6.583228564721,30.454037114928198,5.81641047375094,1.85439327865048,4.28081537648781
Spain,1981,13.6024405806215,8.10594661312353,35.7978092205634,6.70672221859987,2.08063653359876,5.3020632746197105
Spain,1982,15.6243764737203,9.92733912241188,41.6943703574186,7.31912048849905,2.39281760131992,6.43071667146744
Spain,1983,18.2776063494231,12.3910773608978,50.0745817435523,9.601196552562799,2.72458657702259,7.08011490364599
Spain,1984,19.6401242625884,14.8124273025332,55.9266276172109,11.4548684457554,3.0744262245373997,6.94478138179643
Spain,1985,21.9038068561346,17.522017662752702,64.2330873399044,13.063031794871799,3.41617394581555,8.32805708032977
Spain,1986,24.6531423845233,22.332086287825803,74.5579878640871,14.4847767354597,3.91108471321723,9.17689774306109
Spain,1987,27.5907238956456,24.777828251844003,86.35309873708239,20.2148562101314,4.37343325821469,9.39625712124671
Spain,1988,30.157714569286,27.3273090696381,95.6233910028901,22.895221863664798,4.86896648148073,10.37417901882038
Spain,1989,34.651423530153096,30.578668587978502,112.246334223701,29.627506041275797,5.456136879027681,11.93259918526597
Spain,1990,39.5469993068247,32.6731429142116,124.80002975786,32.8321606003752,6.077133862453319,13.67059307399489
Spain,1991,44.289735868674796,35.4576775905609,139.669546769375,36.031359499687305,6.66410974254267,17.22666406791003
Spain,1992,50.8205142100952,40.0018333309555,157.780345022701,40.0669110444028,7.1774413131801795,19.71364512406761
Spain,1993,53.6725293654295,38.351203720877095,164.262895470695,39.717203252032505,7.42562613734706,25.0963329950088
Spain,1994,55.6960261516164,43.1205646944686,167.503041841938,40.4417148717949,7.89762274824207,20.34711337581529
Spain,1995,56.187,46.02,171.795,43.618,5.654,20.316
Spain,1996,58.634,49.23,180.897,46.093,5.985,20.955
Spain,1997,63.111,53.904,195.271,50.406,6.389,21.461
Spain,1998,67.929,61.496,213.003,54.869,6.773,21.936
Spain,1999,73.986,67.814,230.397,57.86,7.747,22.990000000000002
Spain,2000,80.509,72.939,245.747,62.882,6.735,22.682000000000002
Spain,2001,88.138,76.726,266.006,67.52,7.655,25.96699999999998
Spain,2002,94.039,82.033,287.171,75.736,9.297,26.066
Spain,2003,101.025,89.95,304.787,77.381,9.75699999999999,26.674
Spain,2004,108.469,100.46,332.725,86.08,10.532,27.184
Spain,2005,116.666,112.258,368.206,99.8809999999998,10.135,29.266
Spain,2006,126.296,122.204,407.079,114.702,9.97699999999999,33.9
Spain,2007,135.643,122.839,442.451,135,10.179,38.79
Spain,2008,140.997,104.356,409.082,113.916,8.994,40.819
Spain,2009,138.19,86.108,373.777,97.621,9.164,42.694
Spain,2010,136.975,105.981,391.624,97.247,9.176,42.24499999999999
Spain,2011,135.458,102.441,387.333,98.373,8.394,42.667
Spain,2012,129.823,105.324,390.842,102.973,9.554,43.168
Spain,2013,126.856,112.744,396.593,102.233,10.302,44.458
Spain,2014,128.966,118.365,405.125,104.395,10.207,43.19199999999999
Spain,2015,131.508,126.349,417.645,107.107,11.639,41.042
Spain,2016,135.573,128.812,425.316,110.002,9.047,41.882000000000005
Spain,2017,142.43,135.067,444.005,116.938,8.738,40.831999999999994
Spain,2018,149.45,141.184,472.25,127.284,11.701,42.631
Spain,2019,160.656,143.058,488.347,129.117,9.95200000000002,45.56399999999999
Spain,2020,162.174,126.756,468.267,125.348,11.46,42.529
Spain,2021,171.687,146.953,528.95,143.485,18.64,48.185
Spain,2022,180.086,160.429,574.012,164.77,16.603,52.124
Spain,2023,197.037,165.546,628.283,183.162,21.529,61.009
Spain,2024,210.351458283811,170.416096660773,665.5956330014151,194.858227798898,23.877235623087003,66.0926146348456
Netherlands,1969,7.02249856095783,4.9701563257913,22.270907060188097,6.7777339451989,0.293223529411765,3.2072946988282602
Netherlands,1970,8.19842607160674,5.86529054738587,25.427834497033903,7.39861796643633,0.300317647058824,3.6651822645461802
Netherlands,1971,9.75461836601558,6.8025983483253,29.697319783805902,8.89533838478162,0.3417,3.9030646846833497
Netherlands,1972,11.1723446793814,7.81476425260185,34.155619284100396,10.421053387049401,0.299135294117647,4.44832167095006
Netherlands,1973,13.8589980429027,8.91338599453535,40.0860448400258,12.0357517675622,0.374805882352941,4.903103152672649
Netherlands,1974,16.6469175716643,9.611358732692711,46.609231510928396,13.9233991622422,0.426829411764706,6.0007266325645
Netherlands,1975,19.002905905829103,10.803816688668501,53.639228430795,15.9520202235799,0.468211764705882,7.412273848011579
Netherlands,1976,21.2576280747534,12.7427469990483,62.510875676821506,17.8316691123503,0.8962235294117661,9.78260796125769
Netherlands,1977,23.156885337119597,15.059130844564502,69.22285728043221,19.4893594621275,0.374805882352942,11.14267575426764
Netherlands,1978,25.441574024329398,16.2811103060817,75.19639470371949,21.177044209065897,0.481217647058824,11.81544851718363
Netherlands,1979,27.9990613607583,16.8662687194916,81.5652350047288,22.7357530482111,0.500135294117647,13.464016582150151
Netherlands,1980,29.7546860009978,17.3786777085316,87.8180569380068,24.514420799872003,0.5427,15.627572428605502
Netherlands,1981,32.036274703557304,17.5051984465662,93.5625076861821,24.678390171020002,0.549794117647059,18.7928502473916
Netherlands,1982,34.8210942476688,18.3265289043073,99.1952598179018,25.3982557028895,0.520235294117647,20.129145668918632
Netherlands,1983,39.5124043516635,19.1995219967458,104.52394479192701,24.2034788826339,0.534423529411765,21.07411603147178
Netherlands,1984,39.2117058405925,20.6882493476192,108.11488705108,23.920531736079603,0.595905882352942,23.69849424443555
Netherlands,1985,40.8970641620937,21.607633377337102,114.116415684259,24.7033855019877,0.651476470588236,26.256856172252
Netherlands,1986,40.9931636862504,22.8939275473552,114.413886244585,26.767000026680197,0.744882352941177,23.014912631358232
Netherlands,1987,43.0246869603592,24.273003591932,116.731715647073,28.4486858941864,0.7756235294117649,20.20971567118371
Netherlands,1988,44.3814469089374,25.0120955699506,119.33698360787399,30.1103754969184,0.735423529411765,19.09764210265554
Netherlands,1989,43.092886622664004,24.8138797470298,119.888348569774,30.8362399082202,0.858388235294118,20.2869540565658
Netherlands,1990,41.504661153536205,26.4691927363153,127.052526452152,36.5581710733438,0.8347411764705891,21.6857603124854
Netherlands,1991,45.7640400629341,28.1234513861173,141.47557568651598,41.830186281049,1.05938823529411,24.6985097211215
Netherlands,1992,49.0717236847155,29.3095833051914,145.48731289301,40.8663663189349,1.03928823529412,25.200351348874
Netherlands,1993,50.189784815227,32.1299414238787,153.702666720487,44.2837279688375,1.1421529411764701,25.957059571367502
Netherlands,1994,55.2200265743122,32.5474598593928,152.8310820357,38.460815666604404,1.35734117647059,25.245438758919498
Netherlands,1995,53.855,34.343,152.021,37.474,1.206,25.143
Netherlands,1996,54.172,36.825,159.58,40.615,1.967,26.000999999999998
Netherlands,1997,57.016,39.442,165.801,41.469,1.385,26.489
Netherlands,1998,60.52,42.415,173.893,43.07,1.625,26.262999999999998
Netherlands,1999,66.234,47.381,187.21,45.492,1.712,26.391
Netherlands,2000,70.661,50.228,200.529,48.522,1.848,29.27
Netherlands,2001,69.502,56.641,210.599,49.493,1.895,33.068
Netherlands,2002,69.413,58.432,213.99,52.255,2.062,31.828000000000003
Netherlands,2003,74.864,60.002,219.143,48.776,1.989,33.512
Netherlands,2004,75.637,62.566,227.769,51.395,2.038,36.132999999999996
Netherlands,2005,76.714,65.808,237.32,55.677,2.222,36.899
Netherlands,2006,85.412,70.359,258.423,58.657,2.678,41.317
Netherlands,2007,85.988,72.54,267.848,65.128,2.264,41.928
Netherlands,2008,89.891,75.669,288.237,71.469,2.245,48.962999999999994
Netherlands,2009,87.417,71.63,273.028,65.605,2.253,46.123000000000005
Netherlands,2010,92.061,72.91,280.291,67.371,2.264,45.685
Netherlands,2011,93.512,72.544,284.421,70,2.031,46.334
Netherlands,2012,96.647,71.293,288.342,69.898,1.774,48.730000000000004
Netherlands,2013,100.17,74.309,297.383,69.817,2.193,50.894000000000005
Netherlands,2014,100.772,78.281,301.973,75.721,1.83,45.369
Netherlands,2015,99.778,78.938,303.955,81.497,2.173,41.569
Netherlands,2016,107.929,84.323,317.914,84.631,2.305,38.726
Netherlands,2017,108.866,87.829,330.943,93.613,2.44,38.195
Netherlands,2018,115.58,93.145,345.746,96.235,2.242,38.544000000000004
Netherlands,2019,118.959,99.891,364.103,104.786,2.285,38.182
Netherlands,2020,118.614,101.843,360.92,102.481,2.59,35.392
Netherlands,2021,121.366,110.269,389.572,115.508,3.128,39.301
Netherlands,2022,129.683,114.003,429.861,133.037,3.434,49.70399999999999
Netherlands,2023,134.641,118.832,457.397,156.259,3.654,44.010999999999996
Netherlands,2024,139.880280381445,123.747735610302,476.215477891521,166.373872751877,3.7365,42.47708914789802
United States,1961,17.057,46.968,155.839998428344,69.456,2.509,19.849998428343902
United States,1962,19.174,50.382,168.60435303833302,74.873,2.638,21.537353038333197
United States,1963,21.735,53.386,181.29431468608098,80.091,2.885,23.1973146860811
United States,1964,22.464,57.269,187.43765116268798,78.655,3.305,25.744651162687802
United States,1965,23.5,60.709,202.91180233178102,87.449,3.608,27.645802331781
United States,1966,31.441,63.211,227.514951433439,98.615,3.886,30.3619514334389
United States,1967,34.979,67.937,243.656480492947,103.953,3.978,32.809480492946804
United States,1968,38.839,76.407,280.20273410269,124.207,4.088,36.6617341026898
United States,1969,44.34,83.856,314.099258825615,141.555,4.625,39.7232588256148
United States,1970,46.593,91.413,318.8675,134.306,4.764,41.7915
United States,1971,51.504,100.493,339.62025,136.455,5.797,45.37125
United States,1972,59.578,107.928,388.03075,162.671,6.804,51.049749999999996
United States,1973,76.038,117.22,434.94425,177.732,6.601,57.353249999999996
United States,1974,85.75,124.902,480.9265,197.659,6.298,66.3175
United States,1975,89.897,135.292,496.015,193.602,6.448,70.776
United States,1976,101.973,146.388,565.62425,231.728,7.236,78.29925
United States,1977,113.853,159.664,634.85425,265.713,9.276,86.34825000000001
United States,1978,132.12475,170.898,718.9425,307.103,7.189,101.62775
United States,1979,153.67825,180.101,812.26375,348.778,7.541,122.16550000000001
United States,1980,167.203,200.33,893.984,374.188,8.778,143.485
United States,1981,196.869,235.644,1025.30675,414.416,9.262,169.11575
United States,1982,210.086,240.933,1058.2855,403.991,10.103,193.1725
United States,1983,227.20825,263.281,1127.3535,417.102,8.29,211.47225
United States,1984,258.80625,289.773,1249.8965,457.203,8.36,235.75424999999998
United States,1985,282.795,308.133,1363.87175,498.468,8.934,265.54175
United States,1986,304.89,323.373,1452.3105,528.202,10.019,285.8265
United States,1987,324.638,347.545,1578.22075,600.977,10.576,294.48475
United States,1988,363.156,374.4645,1693.058,628.107,11.114,316.2165
United States,1989,386.93725,398.86625,1836.131,690.28175,12.435,347.61075
United States,1990,412.07475,424.98975,1938.5055,714.69675,15.755,370.98924999999997
United States,1991,432.232,457.0905,2007.82725,704.303,15.597,398.60475
United States,1992,457.088,483.376,2112.74575,741.8145,15.795,414.67224999999996
United States,1993,479.64575,503.1255,2239.13375,800.8825,17.637,437.843
United States,1994,510.66725,545.2475,2405.67125,862.43775,20.228,467.09075
United States,1995,535.50275,557.9025,2547.03,939.9095,20.039,493.67625
United States,1996,557.866,580.753,2728.00075,1045.80075,23.11,520.471
United States,1997,590.25475,611.61425,2922.964,1153.39825,26.974,540.72275
United States,1998,627.75325,639.47225,3117.45575,1250.7155,32.393,567.12175
United States,1999,664.578,673.5845,3307.666,1341.388,36.705,591.4105
United States,2000,709.393,708.555,3566.11175,1473.21975,35.64,639.304
United States,2001,736.95325,727.68975,3586.92575,1413.411,37.422,671.44975
United States,2002,755.251,760.03,3451.89625,1217.0685,32.654,686.89275
United States,2003,783.208,805.61625,3549.06175,1222.5605,28.34475,709.33225
United States,2004,833.633,868.098,3810.095,1332.7665,30.355,745.2425
United States,2005,878.01225,942.438,4246.12275,1598.594,32.475,794.6034999999999
