Country,Year,Revenue_Total,Expenditure_Interest,Total_Debt,Expenditure_Total,SFA,IR,Surplus,Primary_Surplus
Spain,1972,5.576748970066141,0.118958112931436,NA,5.69815837421965,NA,NA,-0.12140940415350965,-0.0024512912220736455
Spain,1973,6.928906853593681,0.16006405771402699,NA,6.7860346317734805,NA,NA,0.1428722218202001,0.3029362795342271
Spain,1974,8.22323042193613,0.158195605678455,NA,8.40991629642338,NA,NA,-0.1866858744872495,-0.02849026880879449
Spain,1975,10.198148397271401,0.176880126034178,NA,10.54383000868,NA,NA,-0.3456816114085992,-0.16880148537442122
Spain,1976,12.616730643796801,0.201792819841808,NA,13.1634937584321,NA,NA,-0.5467631146352989,-0.34497029479349095
Spain,1977,16.6546597011024,0.29272415223966003,NA,17.7023051659912,NA,NA,-1.0476454648887987,-0.7549213126491388
Spain,1978,20.7496750257153,0.38801520605384704,NA,23.047516964840902,NA,NA,-2.2978419391256004,-1.9098267330717533
Spain,1979,25.1537384730635,0.503236414914139,NA,27.7320434428027,NA,NA,-2.5783049697392,-2.0750685548250614
Spain,1980,30.454037114928198,0.729319111218387,26.9132741528036,33.975086376375096,NA,NA,-3.5210492614468976,-2.791730150228511
Spain,1981,35.7978092205634,0.891755378550164,32.9022150772139,40.9055126909998,0.8812374539739096,3.3134406965392147,-5.107703470436398,-4.215948091886235
Spain,1982,41.6943703574186,1.2527979322552099,43.26032677242,49.7442506319971,2.3082314206275996,3.807640091450324,-8.049880274578499,-6.7970823423232885
Spain,1983,50.0745817435523,1.90977700539062,57.289319145151,58.0260540949109,6.0775200213724005,4.414615302000379,-7.951472351358596,-6.041695345967977
Spain,1984,55.9266276172109,3.34934376324188,74.7505063055026,66.0049387430324,7.382876034530099,5.846366850260203,-10.0783111258215,-6.7289673625796205
Spain,1985,64.2330873399044,5.91873038860729,90.02038946208181,78.1461504592766,1.3568200372070152,7.917980333695206,-13.913063119372197,-7.994332730764906
Spain,1986,74.5579878640871,7.79711159385308,104.74470052403301,88.47705944399421,0.8052394820440867,8.661495068444868,-13.919071579907111,-6.121959986054032
Spain,1987,86.35309873708239,7.65928232359804,113.49865968418601,95.1872256310696,-0.08016773383420173,7.312333975159599,-8.834126893987204,-1.1748445703891637
Spain,1988,95.6233910028901,8.20815994850752,117.494366545158,105.770313022466,-6.151215158603904,7.2319443871381495,-10.146922019575896,-1.9387620710683766
Spain,1989,112.246334223701,9.5169281519028,133.094460921196,122.785632695269,5.060795904469998,8.099901664855604,-10.539298471568003,-1.0223703196652032
Spain,1990,124.80002975786,11.385551532705799,154.312009867417,140.710423691592,5.307155012489005,8.554489385885923,-15.91039393373201,-4.524842401026211
Spain,1991,139.669546769375,13.1675742215786,175.87081392050698,159.56402852665101,1.664322295813946,8.53308451681241,-19.894481757276026,-6.726907535697427
Spain,1992,157.780345022701,15.063641483627,199.070177814257,175.074919442366,5.904789474085021,8.565174145629255,-17.294574419664997,-2.2309329360379966
Spain,1993,164.262895470695,19.3400080456996,259.192837205699,194.852976245298,29.532578616839004,9.71517093019571,-30.590080774602995,-11.250072728903394
Spain,1994,167.503041841938,20.19320782042,270.485693795715,198.051878951233,-19.255980519278978,7.790804729836879,-30.548837109294993,-10.355629288874994
Spain,1995,171.795,22.74,314.206,203.062,12.453306204284985,8.407098978467394,-31.267000000000024,-8.527000000000026
Spain,1996,180.897,24.6,365.161,209.578,22.273999999999972,7.829258511931663,-28.68100000000001,-4.08100000000001
Spain,1997,195.271,23.543,382.63,215.299,-2.559000000000026,6.447293111805477,-20.02800000000002,3.5149999999999793
Spain,1998,213.003,22.589,409.436,227.597,12.21199999999996,5.903614457831325,-14.594000000000023,7.994999999999976
Spain,1999,230.397,20.307,406.577,237.779,-10.240999999999985,4.959749509080784,-7.382000000000005,12.924999999999994
Spain,2000,245.747,20.485,424.11,253.267,10.013000000000034,5.038406009193831,-7.519999999999982,12.965000000000018
Spain,2001,266.006,20.815,427.01,269.195,-0.2890000000000441,4.907924830822193,-3.1890000000000214,17.62599999999998
